Country Code,2005
ARB,888304.8
EAS,6580370
EAP,4631990
EMU,934703
ECS,10280741
ECA,8730400
EUU,1543423
HPC,6241000
HIC,9665832.8
NOC,111312.8
OEC,9554520
LCN,9670814
LAC,9657510
LDC,6141570
LMY,30823730
LIC,5031090
LMC,7975620
MEA,224377.8
MNA,209850
MIC,25792640
NAC,6122430
OED,10478130
SAS,811810
SSF,6799020
SSA,6782170
UMC,17817020
WLD,40489562.8
AFG,13500
ALB,7820
DZA,15360
ASM,180
AND,160
AGO,591040
ATG,100
ARG,305990
ARM,2830
ABW,4
AUS,1539200
AUT,38620
AZE,9360
BHS,5150
BHR,4.8
BGD,14550
BRB,80
BLR,84360
BEL,6730
BLZ,14410
BEN,48110
BMU,10
BTN,31950
BOL,587340
BIH,21850
BWA,119430
BRA,5304940
BRN,3890
BGR,36510
BFA,59490
BDI,1810
KHM,107310
CMR,210160
CAN,3101340
CPV,840
CYM,130
CAF,227550
TCD,119210
CHI,8
CHL,160430
CHN,1930440
COL,610040
COM,50
COD,1556920
COG,224710
CRI,24910
CIV,104050
HRV,19030
CUB,26970
CYP,1730
CZE,26470
DNK,5340
DJI,60
DMA,460
DOM,19720
ECU,108530
EGY,670
SLV,3090
GNQ,16850
ERI,15540
EST,22520
ETH,130000
FRO,1
FJI,9970
FIN,221570
FRA,157140
PYF,1300
GAB,220000
GMB,4710
GEO,27550
DEU,110760
GHA,55170
GIB,0
GRC,37520
GRL,2
GRD,170
GUM,260
GTM,39380
GIN,67240
GNB,20720
GUY,152050
HTI,1050
HND,57920
HKG,
HUN,19830
ISL,250
IND,677090
IDN,978570
IRN,110750
IRQ,8250
IRL,6950
IMN,30
ISR,1550
ITA,87590
JAM,3390
JPN,249350
JOR,980
KAZ,33370
KEN,35220
KIR,120
PRK,62990
KOR,62550
KSV,
KWT,60
KGZ,8690
LAO,161420
LVA,32970
LBN,1370
LSO,430
LBR,44790
LBY,2170
LIE,70
LTU,21210
LUX,870
MAC,
MKD,9750
MDG,128380
MWI,34020
MYS,208900
MDV,10
MLI,128850
MLT,3
MHL,130
MRT,2670
MUS,350
MYT,150
MEX,655780
FSM,640
MDA,3630
MCO,0
MNG,113080
MNE,5430
MAR,50810
MOZ,400790
MMR,333210
NAM,76610
NPL,36360
NLD,3650
ANT,10
NCL,8390
NZL,83110
NIC,34640
NER,12660
NGA,110890
MNP,310
NOR,96830
OMN,20
PAK,19020
PLW,400
PAN,33100
PNG,294370
PRY,184750
PER,687420
PHL,73910
POL,92000
PRT,34370
PRI,5080
QAT,0
ROU,63910
RUS,8087900
RWA,3850
WSM,1710
SMR,0
STP,270
SAU,9770
SEN,86730
SRB,24760
SYC,410
SLE,28240
SGP,20
SVK,19320
SVN,12430
SLB,22410
SOM,71310
ZAF,62990
ESP,172930
LKA,19330
KNA,110
LCA,470
VCT,260
SDN,702200
SUR,147760
SWZ,5410
SWE,282030
CHE,12170
SYR,4610
TJK,4100
TZA,354450
THA,188980
TLS,7980
TGO,3860
TON,90
TTO,2300
TUN,9240
TUR,107400
TKM,41270
TCA,340
TUV,10
UGA,34290
UKR,95750
ARE,3120
GBR,28450
USA,3021080
URY,15200
UZB,32950
VUT,4400
VEN,477130
VNM,130770
VIR,210
PSE,90
YEM,5490
ZMB,503010
ZWE,172590
