"NCL",45.8971553611,"NC"
"NZL",31.40404846,"NZ"
"NIC",25.8766827323,"NU"
"NER",0.9505013026,"NG"
"NGA",9.9267652646,"NI"
"MNP",65.2173913043,"JA"
"NOR",32.9492257832,"NO"
"OMN",0.0064620355,"MU"
"PAK",2.1884080531,"PK"
"PLW",86.9565217391,"PS"
"PAN",43.731503901,"PM"
"PNG",63.4324073665,"PP"
"PRY",44.2537125598,"PA"
"PER",53.11875,"PE"
"PHL",25.7068115505,"RP"
"POL",30.6916047597,"PL"
"PRT",37.7828796327,"PO"
"PRI",62.2322435175,"RQ"
"QAT",0,"QA"
"ROU",28.590691605,"RO"
"RUS",49.4044344249,"UR"
"RWA",17.6327523308,"RW"
"WSM",60.4240282686,"WS"
"SMR",0,"SM"
"STP",28.125,"TP"
"SAU",0.4885,"SA"
"SEN",44.0087259128,"SG"
"SRB",30.7039384337,"#N/A"
"SYC",89.1304347826,"SE"
"SLE",38.0619938565,"SL"
"SGP",2.8571428571,"SN"
"SVK",40.1871101871,"LO"
"SVN",62.2144985104,"SI"
"SLB",79.0639514112,"BP"
"SOM",10.7549335289,"SO"
"ZAF",4.6654096025,"SF"
"ESP",36.410811244,"SP"
"LKA",29.6603412534,"CE"
"KNA",42.3076923077,"SC"
"LCA",77.0491803279,"ST"
"VCT",69.2307692308,"VC"
"SDN",29.4398148148,"SU"
"SUR",94.6025641026,"NS"
"SWZ",32.7325581395,"WZ"
"SWE",68.7308085977,"SW"
"CHE",31,"SZ"
"SYR",2.6737094315,"SY"
"TJK",2.9294084024,"TI"
"TZA",37.7376382931,"TZ"
"THA",37.1351954432,"TH"
"TLS",49.8991257566,"EM"
"TGO",5.2767052767,"TO"
"TON",12.5,"FJ"
"TTO",44.0545808967,"TD"
"TUN",6.4752832132,"TS"
"TUR",14.726556917,"TU"
"TKM",8.782159045,"TX"
"TCA",35.7894736842,"TK"
"TUV",33.3333333333,"TV"
"UGA",15.1598173516,"UG"
"UKR",16.7523993648,"UI"
"ARE",3.7918660287,"TC"
"GBR",11.9084032571,"UK"
"USA",33.2358194988,"US"
"URY",9.9645754771,"UY"
"UZB",7.7009873061,"UZ"
"VUT",36.0951599672,"BP"
"VEN",52.4630123009,"VE"
"VNM",44.4964040378,"VM"
"VIR",57.1428571429,"VQ"
"PSE",1.4950166113,"#N/A"
"YEM",1.0398318086,"YM"
"ZMB",66.5438060776,"ZA"
"ZWE",40.3877471888,"ZI"
